Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,16.660,2494868,2494868,2436
2,10.597,2494616,2493588,2435
3,11.074,2494956,2493932,2435
4,12.100,2494196,2493172,2434
5,11.027,2502712,2500376,2441
6,12.492,2495588,2495352,2436
7,11.541,2498440,2493548,2435
8,12.898,2499496,2496284,2437
9,11.299,2500124,2493876,2435
10,11.509,2493564,2493240,2434
11,10.518,2494960,2494636,2436
12,12.718,2492648,2491624,2433
13,10.912,2494208,2493884,2435
14,11.968,2494400,2493376,2434
15,11.052,2494024,2493000,2434
16,10.991,2494616,2493968,2435
17,10.984,2494932,2493908,2435
18,12.094,2494020,2492996,2434
19,12.037,2495460,2494216,2435
20,11.053,2494284,2493964,2435
