Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,21.733,2482176,2477496,2419
2,18.437,2482908,2477844,2419
3,17.999,2484400,2479040,2420
4,19.263,2482636,2477960,2419
5,21.045,2480536,2477432,2419
6,19.687,2484960,2478220,2420
7,23.562,2482524,2477832,2419
8,24.087,2482080,2477016,2418
9,21.210,2481988,2477288,2419
10,20.009,2485940,2479456,2421
11,17.518,2480784,2477680,2419
12,18.554,2486408,2480740,2422
13,17.026,2482540,2477416,2419
14,17.604,2483000,2477936,2419
15,17.124,2482272,2477200,2419
16,17.118,2482552,2477444,2419
17,17.288,2482580,2477912,2419
18,17.088,2482216,2477140,2419
19,19.717,2482708,2477036,2418
20,18.197,2484932,2478432,2420
