Deney,Kırılım,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,9.994+3.913,13.907,2477192,2475364,2417
2,9.191+3.023,12.214,2477616,2476544,2418
3,8.978+4.326,13.304,2478908,2477060,2419
4,9.840+4.013,13.853,2476532,2475508,2417
5,9.431+2.450,11.881,2480432,2475540,2417
6,9.267+2.553,11.820,2476552,2475528,2417
7,9.447+2.235,11.682,2478028,2476800,2418
8,9.652+2.793,12.445,2476696,2475672,2417
9,8.527+3.021,11.548,2478640,2477616,2419
10,9.474+3.333,12.807,2477620,2476392,2418
11,10.319+5.979,16.298,2478800,2477288,2419
12,9.918+4.610,14.528,2477992,2476968,2418
13,9.428+6.309,15.737,2484000,2476856,2418
14,8.956+4.004,12.960,2476536,2476536,2418
15,8.695+2.600,11.295,2478620,2477580,2419
16,10.691+3.615,14.306,2477788,2476764,2418
17,8.743+2.028,10.771,2478956,2477924,2419
18,9.474+2.908,12.382,2478960,2478272,2420
19,8.325+3.930,12.255,2482932,2478040,2419
20,10.441+3.592,14.033,2479756,2478732,2420
