Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,33.438,2485892,2480292,2422
2,25.905,2484132,2478012,2419
3,27.865,2486220,2479848,2421
4,30.481,2482360,2477052,2418
5,32.830,2473848,2473760,2415
6,29.133,2482304,2477212,2419
7,31.241,2484924,2479412,2421
8,27.094,2480296,2475844,2417
9,26.276,2480960,2475856,2417
10,26.487,2485008,2479380,2421
11,23.677,2481972,2476896,2418
12,23.639,2485800,2479460,2421
13,22.889,2486328,2479164,2421
14,27.932,2484852,2477984,2419
15,31.801,2479360,2475192,2417
16,28.462,2483104,2476600,2418
17,26.662,2484820,2479300,2421
18,22.927,2484880,2479380,2421
19,27.005,2485104,2479128,2421
20,25.693,2483148,2477496,2419
