Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,9.484,2495332,2494304,2435
2,10.653,2494992,2493968,2435
3,9.475,2495984,2495732,2437
4,8.907,2496096,2495072,2436
5,10.234,2496296,2495272,2436
6,10.221,2499620,2497396,2438
7,9.636,2495320,2494996,2436
8,9.838,2499164,2496496,2437
9,10.527,2494856,2493828,2435
10,9.917,2499288,2494432,2435
11,10.495,2508796,2501728,2443
12,11.328,2494300,2493228,2434
13,9.585,2495876,2494852,2436
14,9.603,2496408,2495384,2436
15,9.636,2498236,2495828,2437
16,8.883,2495920,2494892,2436
17,9.739,2499124,2496760,2438
18,10.409,2501148,2498788,2440
19,10.493,2495424,2494400,2435
20,11.103,2504908,2497252,2438
