Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,11.348,2494096,2493404,2434
2,10.749,2502480,2500840,2442
3,10.465,2503952,2501732,2443
4,10.543,2498952,2495140,2436
5,10.806,2494756,2493728,2435
6,10.527,2506544,2499484,2440
7,10.603,2498984,2493380,2434
8,10.419,2494340,2494032,2435
9,10.356,2493824,2492800,2434
10,10.287,2495812,2494764,2436
11,10.542,2493968,2493968,2435
12,10.475,2495456,2495456,2436
13,10.588,2499084,2494220,2435
14,11.373,2492416,2492164,2433
15,10.488,2495248,2494224,2435
16,10.893,2494272,2493248,2434
17,10.901,2502624,2499728,2441
18,10.471,2494848,2493824,2435
19,10.340,2499240,2494388,2435
20,10.309,2494028,2494028,2435
