Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,9.296,2495880,2494856,2436
2,11.132,2493616,2493364,2434
3,9.659,2496304,2495280,2436
4,10.056,2500844,2495696,2437
5,10.109,2495300,2494964,2436
6,9.791,2495936,2494912,2436
7,9.900,2494620,2494620,2436
8,9.102,2496424,2495396,2436
9,9.858,2496088,2495064,2436
10,10.009,2495852,2494428,2435
11,10.736,2494956,2493928,2435
12,10.300,2496808,2495280,2436
13,9.469,2496284,2495260,2436
14,9.803,2495952,2494880,2436
15,9.831,2495680,2494192,2435
16,9.880,2499184,2498120,2439
17,10.057,2493616,2494788,2436
18,9.729,2501084,2496196,2437
19,9.788,2495448,2495124,2436
20,9.653,2494888,2494888,2436
