Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,20.526,2481904,2477736,2419
2,19.217,2480648,2475328,2417
3,21.326,2482280,2480064,2421
4,18.292,2482888,2477552,2419
5,18.855,2480580,2477468,2419
6,17.932,2481668,2476968,2418
7,18.195,2480560,2477456,2419
8,17.554,2487188,2481972,2423
9,17.262,2481436,2477340,2419
10,17.812,2480156,2476964,2418
11,17.748,2486228,2480864,2422
12,17.949,2481692,2477008,2418
13,17.439,2484408,2477016,2418
14,18.164,2484216,2477872,2419
15,19.527,2481364,2477196,2419
16,18.888,2481680,2477512,2419
17,17.801,2482156,2477480,2419
18,17.618,2481532,2478928,2420
19,18.885,2482432,2477212,2419
20,18.898,2484156,2477972,2419
