Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,11.103,2493608,2493356,2434
2,10.301,2499480,2494500,2436
3,10.515,2495276,2494248,2435
4,9.965,2495924,2494900,2436
5,10.382,2495396,2494368,2435
6,11.268,2498016,2496336,2437
7,10.027,2494952,2494700,2436
8,11.316,2501716,2496688,2438
9,10.409,2494812,2494560,2436
10,10.524,2494696,2493628,2435
11,10.313,2505436,2498412,2439
12,10.579,2494308,2493284,2434
13,10.517,2498468,2493604,2435
14,9.617,2496624,2495600,2437
15,10.803,2494748,2493724,2435
16,11.049,2506784,2499128,2440
17,11.060,2492264,2492264,2433
18,10.689,2493212,2493212,2434
19,12.399,2498756,2496428,2437
20,11.455,2493284,2493284,2434
