ReplicaSet,Solution,SmocId,Experiment,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
6,mirrored,smoc1,1,19.235,8892,10740,192604,201852,156020,3555
6,mirrored,smoc2,1,19.474,13496,10880,199608,201272,124248,3549
6,mirrored,smoc3,1,18.482,13500,10480,216972,218324,143364,3544
6,mirrored,smoc4,1,20.379,8812,9236,213724,235764,183784,3565
6,mirrored,smoc5,1,18.552,8872,9492,155528,170820,100800,3564
6,mirrored,smoc6,1,19.411,13500,10740,198544,207332,150824,3552
6,mirrored,smoc7,1,6.023,3488,6568,81800,86752,87040,3552
6,mirrored,smoc1,2,14.545,7836,9552,90160,98860,97476,3554
6,mirrored,smoc2,2,14.559,8660,10136,124548,136820,74348,3558
6,mirrored,smoc3,2,15.022,3308,8956,100052,119832,72136,3562
6,mirrored,smoc4,2,15.644,13420,8624,80756,85592,52180,3552
6,mirrored,smoc5,2,14.961,7808,9944,78708,100536,53300,3575
6,mirrored,smoc6,2,14.592,8760,9168,120840,143984,75472,3566
6,mirrored,smoc7,2,5.129,6444,5428,64512,65008,90888,3567
6,mirrored,smoc1,3,15.755,6952,10652,113040,127152,69472,3565
6,mirrored,smoc2,3,15.236,7916,10588,97356,107096,58612,3562
6,mirrored,smoc3,3,15.624,13188,11396,86488,108100,69520,3565
6,mirrored,smoc4,3,15.039,7308,9820,79976,93740,58420,3562
6,mirrored,smoc5,3,15.663,12768,10656,109728,119964,109452,3559
6,mirrored,smoc6,3,15.552,5624,6384,87136,100512,55680,3552
6,mirrored,smoc7,3,5.147,4824,1836,53972,52168,55484,3568
6,mirrored,smoc1,4,13.985,8952,12036,96140,104128,57852,3546
6,mirrored,smoc2,4,14.536,11716,10336,88236,96556,54952,3557
6,mirrored,smoc3,4,14.661,13916,10820,125732,128140,73480,3562
6,mirrored,smoc4,4,14.771,12364,10604,106368,129316,128720,3573
6,mirrored,smoc5,4,14.554,6620,12000,87892,110112,71524,3568
6,mirrored,smoc6,4,14.677,13684,10740,128992,135776,79592,3563
6,mirrored,smoc7,4,5.850,5288,2144,69828,70516,76316,3560
6,mirrored,smoc1,5,14.807,12004,12240,119768,136212,129288,3561
6,mirrored,smoc2,5,15.562,11640,10560,81676,95052,58964,3558
6,mirrored,smoc3,5,14.664,10484,8180,80244,88396,57184,3555
6,mirrored,smoc4,5,14.851,12684,12260,135692,143952,147912,3554
6,mirrored,smoc5,5,14.071,13732,11240,139612,144724,79256,3546
6,mirrored,smoc6,5,14.008,7044,7652,79460,99036,47508,3566
