ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
4,distributed,1,smoc1,50.778,8244,1356,17572,7672,8820,2435
4,distributed,1,smoc2,50.833,6172,1488,11412,11904,9196,2438
4,distributed,1,smoc3,50.63,6848,0,20096,11208,7188,2437
4,distributed,1,smoc4,50.867,6284,760,13072,4672,8336,2434
4,distributed,1,smoc5,28.151,6020,1028,11160,13024,5740,2436
4,distributed,2,smoc1,40.919,6572,1412,22748,16368,8996,2435
4,distributed,2,smoc2,40.819,7756,716,25088,15192,8056,2436
4,distributed,2,smoc3,40.595,7052,0,20216,10684,7336,2441
4,distributed,2,smoc4,40.832,10420,3340,25464,13872,11240,2436
4,distributed,2,smoc5,25.375,3876,724,9040,13032,6648,2436
4,distributed,3,smoc1,43.824,6556,-728,15736,3748,5484,2435
4,distributed,3,smoc2,44.815,1504,-5556,7252,-1944,2284,2440
4,distributed,3,smoc3,44.574,9380,1864,21760,14396,9108,2436
4,distributed,3,smoc4,44.856,1900,-5160,6524,-2280,2636,2440
4,distributed,3,smoc5,27.353,5528,1028,10228,12664,6056,2436
4,distributed,4,smoc1,40.148,3452,-1568,11584,2672,6140,2436
4,distributed,4,smoc2,41.005,5524,0,23696,13636,7580,2435
4,distributed,4,smoc3,40.97,7984,2460,20680,12096,9956,2435
4,distributed,4,smoc4,41.268,5524,0,9900,10184,7772,2439
4,distributed,4,smoc5,26.426,6452,3048,12648,19148,7540,2435
4,distributed,5,smoc1,43.386,6320,1028,5480,8204,9000,2440
4,distributed,5,smoc2,43.671,7084,32,21684,11308,8724,2436
4,distributed,5,smoc3,43.389,5524,0,23560,18628,7712,2435
4,distributed,5,smoc4,43.569,6868,0,15144,11536,7580,2437
4,distributed,5,smoc5,24.649,7132,5312,13944,14484,9800,2439
4,distributed,6,smoc1,41.824,5524,0,13852,16740,7648,2435
4,distributed,6,smoc2,42.044,3460,-2324,14088,1936,4060,2433
4,distributed,6,smoc3,41.213,3320,0,14936,10172,7648,2435
4,distributed,6,smoc4,41.809,9964,2912,24948,14844,10492,2436
4,distributed,6,smoc5,30.054,2096,-2360,4776,-3708,1072,2442
4,distributed,7,smoc1,45.816,5756,0,21668,16600,7320,2437
4,distributed,7,smoc2,45.51,5032,-8,17200,5780,7636,2436
4,distributed,7,smoc3,45.217,5176,-1876,17120,1900,4120,2435
4,distributed,7,smoc4,45.543,5064,0,22544,14076,7580,2434
4,distributed,7,smoc5,26.504,6828,2300,14780,14008,7076,2436
4,distributed,8,smoc1,41.193,9100,2048,22344,18184,9756,2436
4,distributed,8,smoc2,41.485,9092,2040,23004,13564,9360,2437
4,distributed,8,smoc3,41.03,8988,3476,25576,15048,10592,2435
4,distributed,8,smoc4,41.324,6724,-148,15692,13388,6932,2435
4,distributed,8,smoc5,29.137,4332,1028,6776,16292,6740,2436
4,distributed,9,smoc1,43.157,6564,1040,23804,12904,8488,2433
4,distributed,9,smoc2,42.585,6680,-232,16204,15448,7428,2435
4,distributed,9,smoc3,42.949,7752,1764,23944,14864,9228,2434
4,distributed,9,smoc4,43.418,7104,1580,25272,15288,9160,2434
4,distributed,9,smoc5,25.766,4920,1028,11816,11696,5584,2436
4,distributed,10,smoc1,41.835,676,-5528,9496,2500,2380,2437
4,distributed,10,smoc2,42.161,5004,-1836,16212,6584,5744,2435
4,distributed,10,smoc3,41.679,4684,412,18736,18932,8092,2434
4,distributed,10,smoc4,42.467,4452,-1096,4816,7148,7776,2440
4,distributed,10,smoc5,25.177,7260,2180,6076,-320,6696,2438
4,centralized,1,smoc1,50.508,688,-4696,4420,-524,1408,2437
4,centralized,1,smoc2,50.528,2644,-2832,6832,-2064,3776,2437
4,centralized,1,smoc3,50.362,3296,428,5320,740,6332,2435
4,centralized,1,smoc4,50.497,9424,2604,16352,5268,9004,2436
4,centralized,1,smoc5,22.629,9756,3320,18140,22120,6744,2437
4,centralized,2,smoc1,45.244,4976,0,5996,3808,6476,2441
4,centralized,2,smoc2,43.773,6712,0,16692,14920,6804,2436
4,centralized,2,smoc3,44.261,5212,-2352,6472,-4548,3224,2439
4,centralized,2,smoc4,44.687,5524,0,22372,13104,6416,2435
4,centralized,2,smoc5,21.363,5168,4468,7028,16288,7196,2437
4,centralized,3,smoc1,43.09,9352,2300,25932,16316,8844,2435
4,centralized,3,smoc2,43.186,5200,-232,22328,12440,6256,2433
4,centralized,3,smoc3,42.599,5808,284,21376,14724,6568,2434
4,centralized,3,smoc4,43.1,7924,872,23068,14924,7164,2435
4,centralized,3,smoc5,24.483,5596,1232,18492,18172,4644,2434
4,centralized,4,smoc1,45.495,5316,0,14164,13108,6348,2436
4,centralized,4,smoc2,45.599,1964,-3516,10132,2160,2888,2434
4,centralized,4,smoc3,45.765,4116,-2936,15296,5984,2284,2436
4,centralized,4,smoc4,44.944,4168,-2672,17308,7304,3484,2435
4,centralized,4,smoc5,22.573,7328,7044,13984,21116,10724,2442
4,centralized,5,smoc1,43.943,6108,608,19888,10872,7084,2434
4,centralized,5,smoc2,43.015,6680,256,17584,10572,6668,2435
4,centralized,5,smoc3,43.87,6432,908,21468,11268,7388,2434
4,centralized,5,smoc4,43.62,5524,0,22564,13512,6608,2434
4,centralized,5,smoc5,22.353,5608,1952,10772,11924,6044,2438
4,centralized,6,smoc1,42.268,5524,0,16076,12864,6480,2435
4,centralized,6,smoc2,41.956,4104,-3324,2984,-7548,1716,2442
4,centralized,6,smoc3,42.043,4064,1016,12680,8320,7212,2435
4,centralized,6,smoc4,41.731,5780,332,3064,-1560,6684,2440
4,centralized,6,smoc5,17.577,11180,5208,18824,23696,9916,2440
4,centralized,7,smoc1,37.703,4948,0,19704,16976,7320,2436
4,centralized,7,smoc2,40.473,5948,0,10316,14484,6872,2437
4,centralized,7,smoc3,40.539,3156,0,16688,10168,6992,2436
4,centralized,7,smoc4,39.759,5412,0,12456,11420,6996,2436
4,centralized,7,smoc5,23.008,5556,1548,14100,20292,4904,2436
4,centralized,8,smoc1,41.987,8748,2140,22272,12604,8752,2436
4,centralized,8,smoc2,43.028,5004,496,18036,11432,6844,2434
4,centralized,8,smoc3,41.857,5832,232,18140,11616,6700,2436
4,centralized,8,smoc4,42.425,8200,1148,23508,16796,7696,2435
4,centralized,8,smoc5,25.814,5732,1684,1884,3472,5104,2438
4,centralized,9,smoc1,43.942,7020,1496,23588,14968,7844,2433
4,centralized,9,smoc2,43.753,5768,-1284,18632,12976,6196,2436
4,centralized,9,smoc3,43.5,2756,-3104,932,-2112,3060,2439
4,centralized,9,smoc4,43.965,3956,-2912,17168,6768,3824,2437
4,centralized,9,smoc5,22.028,4156,1548,12080,13884,4516,2435
4,centralized,10,smoc1,44.811,6844,0,17084,15184,6672,2438
4,centralized,10,smoc2,45.325,584,-6920,3096,-8824,-440,2438
4,centralized,10,smoc3,45.078,5524,0,21716,11112,6352,2434
4,centralized,10,smoc4,45.201,6104,-948,15864,7720,4144,2435
4,centralized,10,smoc5,21.517,5840,1320,11728,12964,4836,2436
4,conventional,1,smoc1,47.179,6076,376,22704,17444,8868,2437
4,conventional,1,smoc2,46.744,5316,0,14600,17284,8296,2436
4,conventional,1,smoc3,47.581,5416,-252,23444,16188,8104,2437
4,conventional,1,smoc4,47.593,5524,0,18408,16288,8428,2434
4,conventional,1,smoc5,29.744,3140,-1208,6748,1524,3032,2438
4,conventional,2,smoc1,46.593,4496,-1108,10452,9320,7284,2442
4,conventional,2,smoc2,46.097,5812,864,21140,13372,9228,2434
4,conventional,2,smoc3,45.374,5524,0,8844,14916,8168,2438
4,conventional,2,smoc4,46.34,4300,-1456,23000,12632,6576,2435
4,conventional,2,smoc5,26.726,6096,1604,4340,-804,6576,2437
4,conventional,3,smoc1,53.073,14476,6784,21200,12072,14568,2442
4,conventional,3,smoc2,53.388,7428,1424,22736,16460,9868,2436
4,conventional,3,smoc3,53.42,8252,2392,24232,16648,10368,2438
4,conventional,3,smoc4,53.02,9704,1748,19496,10852,9976,2437
4,conventional,3,smoc5,27.334,7500,3924,15304,10252,7592,2438
4,conventional,4,smoc1,42.964,9904,4044,28656,22100,12468,2439
4,conventional,4,smoc2,42.4,5316,0,19704,18080,8100,2439
4,conventional,4,smoc3,42.756,5524,0,26188,19108,8036,2435
4,conventional,4,smoc4,42.061,9068,2052,30220,20872,10476,2436
4,conventional,4,smoc5,28.064,5816,1876,14676,11612,6716,2435
4,conventional,5,smoc1,44.199,5500,0,7984,10812,8488,2441
4,conventional,5,smoc2,44.244,5312,232,11824,15180,8168,2438
4,conventional,5,smoc3,44.275,9320,3072,26760,18080,11368,2436
4,conventional,5,smoc4,44.189,2764,-2472,22492,13792,5616,2435
4,conventional,5,smoc5,25.390,916,-5044,788,-3960,3072,2441
4,conventional,6,smoc1,41.471,6316,5516,26488,18492,12020,2438
4,conventional,6,smoc2,42.252,6868,0,18628,22228,8556,2437
4,conventional,6,smoc3,42.152,9072,3212,27720,18332,11376,2436
4,conventional,6,smoc4,41.756,7856,420,19200,16048,9136,2436
4,conventional,6,smoc5,26.953,5268,796,5188,-2708,4980,2440
4,conventional,7,smoc1,43.452,5052,232,11488,13284,8776,2439
4,conventional,7,smoc2,43.032,6868,0,19268,23564,8232,2438
4,conventional,7,smoc3,42.344,9176,2124,26556,18452,10224,2435
4,conventional,7,smoc4,43.085,7092,600,25028,16396,8764,2436
4,conventional,7,smoc5,27.203,6052,1548,12800,15600,5936,2435
4,conventional,8,smoc1,46.45,5020,-1016,9920,12624,7048,2439
4,conventional,8,smoc2,46.476,7368,488,28440,17316,8588,2436
4,conventional,8,smoc3,46.347,5292,0,13752,12236,7556,2439
4,conventional,8,smoc4,46.477,4316,-688,17032,10100,5876,2438
4,conventional,8,smoc5,28.18,5544,2588,20260,20172,6820,2437
4,conventional,9,smoc1,42.633,5524,692,13620,11456,8988,2439
4,conventional,9,smoc2,41.686,5684,392,10168,3184,8948,2440
4,conventional,9,smoc3,42.376,5524,0,11948,14944,8424,2438
4,conventional,9,smoc4,41.471,5524,0,26784,17896,7972,2435
4,conventional,9,smoc5,27.821,12040,5996,15036,15352,10596,2440
4,conventional,10,smoc1,45.048,5316,0,20772,14244,8100,2437
4,conventional,10,smoc2,45.248,3100,-608,12052,6876,5908,2442
4,conventional,10,smoc3,44.745,6760,-232,20460,13984,8056,2436
4,conventional,10,smoc4,44.464,9280,2016,27412,18632,10128,2436
4,conventional,10,smoc5,27.781,6064,3884,18636,20852,8596,2436
6,conventional,1,smoc1,70.106,10548,3264,28308,17680,9592,2437
6,conventional,1,smoc2,72.192,5272,-252,10908,15228,8248,2440
6,conventional,1,smoc3,71.806,1636,-5668,8204,-608,3096,2442
6,conventional,1,smoc4,70.851,2152,-4908,5724,-252,3664,2441
6,conventional,1,smoc5,70.800,6792,-520,23184,16128,8168,2438
6,conventional,1,smoc6,71.508,2656,-2868,19724,7608,3964,2437
6,conventional,1,smoc7,28.353,7896,5008,20504,13384,9064,2438
6,conventional,2,smoc1,73.221,9900,3236,27480,18052,11892,2438
6,conventional,2,smoc2,73.988,7052,0,25312,16904,8556,2435
6,conventional,2,smoc3,72.953,7360,688,26304,16364,9568,2436
6,conventional,2,smoc4,73.898,6800,0,24524,16912,8748,2437
6,conventional,2,smoc5,77.777,6540,0,26292,16720,8360,2436
6,conventional,2,smoc6,74.685,10472,5204,27620,17856,12096,2439
6,conventional,2,smoc7,29.35,3492,-584,12360,5576,7300,2435
6,conventional,3,smoc1,72.648,7320,3628,23056,16564,10148,2438
6,conventional,3,smoc2,73.446,3580,-2280,14452,3328,4224,2439
6,conventional,3,smoc3,71.732,7912,1296,26964,15568,9708,2435
6,conventional,3,smoc4,72.578,7440,864,28260,23520,9004,2437
6,conventional,3,smoc5,72.58,3140,-3920,8644,1276,4896,2442
6,conventional,3,smoc6,73.117,5200,0,24612,13888,8100,2434
6,conventional,3,smoc7,29.808,5764,1156,18904,13540,5792,2435
6,conventional,4,smoc1,75.85,5268,0,18992,18200,8428,2437
6,conventional,4,smoc2,75.165,9012,3200,16312,4848,10316,2443
6,conventional,4,smoc3,75.948,6936,1760,12412,15672,9008,2442
6,conventional,4,smoc4,74.571,712,-4584,15656,4792,4100,2436
6,conventional,4,smoc5,74.509,7052,0,19788,18092,8748,2435
6,conventional,4,smoc6,74.495,5524,0,12300,11088,8556,2440
6,conventional,4,smoc7,31.588,2952,-2076,12792,3796,2436,2437
6,conventional,5,smoc1,72.678,6868,-232,19544,20012,8336,2439
6,conventional,5,smoc2,72.923,5756,428,28972,17988,8656,2434
6,conventional,5,smoc3,71.765,6868,-52,22652,19280,8672,2436
6,conventional,5,smoc4,73.34,3932,-2936,20848,19516,4168,2438
6,conventional,5,smoc5,73.191,8376,3372,25752,17200,10264,2438
6,conventional,5,smoc6,73.498,7920,904,26820,19448,9200,2436
6,conventional,5,smoc7,33.141,2188,-3424,3600,512,1872,2438
6,conventional,6,smoc1,73.594,8120,1816,23844,19464,8396,2439
6,conventional,6,smoc2,73.652,5524,0,27924,20992,8552,2435
6,conventional,6,smoc3,74.021,4672,-1124,18560,8432,6912,2436
6,conventional,6,smoc4,74.104,4448,-1076,9312,13432,7740,2440
6,conventional,6,smoc5,73.366,8068,2048,28356,19532,8616,2438
6,conventional,6,smoc6,74.349,5804,804,8888,10912,8728,2443
6,conventional,6,smoc7,34.745,6004,3016,7216,14188,7784,2437
6,conventional,7,smoc1,72.677,6956,2048,8116,14556,8944,2442
6,conventional,7,smoc2,71.446,5316,-232,7000,15888,8336,2441
6,conventional,7,smoc3,72.612,6944,2048,24408,18952,8748,2439
6,conventional,7,smoc4,71.072,7052,-232,20724,16060,8404,2437
6,conventional,7,smoc5,73.523,7888,2048,22944,20228,8876,2440
6,conventional,7,smoc6,73.183,3764,-1112,19240,9128,5692,2438
6,conventional,7,smoc7,32.601,8740,4232,10644,1256,8812,2440
6,conventional,8,smoc1,73.918,9528,4860,8032,6384,10956,2445
6,conventional,8,smoc2,74.352,5524,0,17204,11916,8360,2437
6,conventional,8,smoc3,74.256,7908,2048,20968,15900,8812,2439
6,conventional,8,smoc4,73.533,7104,108,26840,16500,8472,2436
6,conventional,8,smoc5,74.715,2724,-2756,19912,11924,5248,2438
6,conventional,8,smoc6,75.143,7584,532,24724,15400,8636,2434
6,conventional,8,smoc7,32.443,5032,-376,10240,3340,2268,2438
