ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
4,conventional,1,smoc1,50.817,354471.77737043827, 349223.9433427762, 165428.30461589736, 157490.45092484585, 253181.38376937178,2439
4,conventional,1,smoc2,50.101,354456.65589068487, 348004.65655724047, 167000.66255624063, 156209.2004665889, 252339.8713547742,2436
4,conventional,1,smoc3,50.272,353596.5845692385, 348205.3391101483, 165019.10414930846, 156346.9275120813, 252168.21929678388,2438
4,conventional,1,smoc4,50.037,353036.0513247792, 347857.17113814363, 164793.30911514748, 156533.48708548574, 250511.2881186469,2438
4,conventional,1,smoc5,31.294,2502260.0, 2499288.0, 161388.0, 155538.0, 251066.0,2439
4,conventional,2,smoc1,51.043,354104.59456757206, 347778.9588401933, 167538.8968505249, 159239.66605565738, 251877.32444592568,2439
4,conventional,2,smoc2,51.07,355851.4007665389, 351113.3164472588, 165985.2411264789, 156940.95784035994, 254968.8358606899,2441
4,conventional,2,smoc3,51.667,353139.7553741043, 348106.8715214131, 163150.51958007, 155653.66438926847, 251955.16080653225,2439
4,conventional,2,smoc4,50.226,351043.56207298784, 346246.5575737377, 163378.9695050825, 155389.28445259124, 249812.8718546909,2436
4,conventional,2,smoc5,33.685,2497966.0, 2495462.0, 157708.0, 153238.0, 247266.0,2437
4,conventional,3,smoc1,51.321,351452.92317947006, 346228.95050824864, 162644.6785535744, 155584.7092151308, 250133.7070488252,2436
4,conventional,3,smoc2,51.326,351469.59240126645, 346217.34844192636, 162892.17330444927, 155019.66272287953, 250226.75487418764,2434
4,conventional,3,smoc3,51.18,353698.96483919345, 347384.2292951175, 165625.516413931, 156830.14830861523, 251278.53357773705,2438
4,conventional,3,smoc4,51.383,354986.924845859, 351035.82202966174, 167872.24995834028, 159189.13781036495, 254340.5119146809,2440
4,conventional,3,smoc5,33.519,2501432.0, 2498686.0, 159086.0, 156502.0, 250434.0,2438
4,conventional,4,smoc1,53.389,352563.9040159973, 348347.4160973171, 165224.5199133478, 157508.54657557074, 251473.93767705382,2437
4,conventional,4,smoc2,53.146,354444.5325779037, 347943.8053657724, 165935.284785869, 156156.32594567572, 252096.3806032328,2436
4,conventional,4,smoc3,53.149,353532.88918513583, 348127.167472088, 164080.4572571238, 154352.54857523745, 252146.3216130645,2436
4,conventional,4,smoc4,53.616,353715.3214464256, 346955.18613564403, 164142.13431094817, 154286.07098816865, 251030.25095817365,2435
4,conventional,4,smoc5,31.395,2501700.0, 2498636.0, 159886.0, 156016.0, 250278.0,2440
4,conventional,5,smoc1,52.74,352957.7297117147, 346943.0508248625, 166478.8048658557, 155499.5294117647, 251073.18380269955,2438
4,conventional,5,smoc2,52.697,354983.6640559907, 348940.5192467922, 164813.2311281453, 155412.83652724547, 252444.27062156308,2438
4,conventional,5,smoc3,52.427,353652.0493251125, 347825.91101483087, 165008.575904016, 155757.81703049492, 251634.0616563906,2438
4,conventional,5,smoc4,52.74,354361.69238460256, 348959.7707048825, 167208.63922679552, 157378.1949675054, 252364.65522412932,2440
4,conventional,5,smoc5,32.692,2496668.0, 2496056.0, 155178.0, 151928.0, 247730.0,2440
4,conventional,6,smoc1,52.621,355453.8863522746, 348663.31011498085, 167165.94967505414, 157589.5704049325, 253008.5192467922,2439
4,conventional,6,smoc2,52.465,351646.6302282953, 346432.97717047157, 163369.64839193466, 155212.40793201132, 250429.09715047493,2436
4,conventional,6,smoc3,53.355,352343.9646725546, 348219.2207965339, 165571.23012831196, 157994.32961173137, 251286.90418263624,2438
4,conventional,6,smoc4,52.961,353498.8568571905, 347966.4435927345, 165756.3366105649, 157327.99600066655, 251538.8815197467,2438
4,conventional,6,smoc5,33.138,2496336.0, 2495222.0, 154496.0, 153892.0, 246898.0,2437
4,conventional,7,smoc1,51.284,353420.2332944509, 347029.3137810365, 164406.86552241293, 154681.25112481252, 250947.76403932678,2437
4,conventional,7,smoc2,51.567,355019.9946675554, 349824.0379936677, 164977.53841026497, 156952.88251958007, 253857.69771704715,2438
4,conventional,7,smoc3,51.679,353451.4307615397, 348391.594734211, 164080.53124479254, 155209.63039493418, 252011.2414597567,2438
4,conventional,7,smoc4,51.622,353611.1168138644, 348547.7273787702, 164320.09331778038, 154250.27695384104, 251450.0803199467,2438
4,conventional,7,smoc5,32.496,2496442.0, 2494158.0, 152884.0, 150796.0, 246126.0,2433
4,conventional,8,smoc1,50.727,354633.7890351608, 348219.4760873188, 164183.95134144308, 156103.36410598233, 252085.8070321613,2438
4,conventional,8,smoc2,50.523,355672.4092651225, 349253.0258290285, 166555.80269955008, 157576.98316947176, 253160.21929678388,2439
4,conventional,8,smoc3,50.358,352870.07098816865, 347457.8690218297, 163063.20746542243, 155643.69471754707, 251353.0664889185,2435
4,conventional,8,smoc4,51.147,354167.4347608732, 349918.5629061823, 165270.36093984335, 157093.72637893684, 253115.70604899182,2438
4,conventional,8,smoc5,32.616,2498198.0, 2496562.0, 154396.0, 147770.0, 248068.0,2441
4,conventional,9,smoc1,50.894,355550.38960173307, 349632.95050824864, 166913.51908015332, 156620.97783702717, 253287.4680886519,2439
4,conventional,9,smoc2,51.353,352697.9996667222, 347320.1926345609, 162997.5990668222, 153501.33377770372, 251254.62022996167,2437
4,conventional,9,smoc3,51.238,352665.6297283786, 348433.6017330445, 164848.95184135978, 157040.647892018, 251673.92967838692,2439
4,conventional,9,smoc4,50.702,354766.6888851858, 348954.30494917516, 165203.4394267622, 153697.07515414097, 252573.74504249293,2439
4,conventional,9,smoc5,32.138,2499326.0, 2496952.0, 159026.0, 154882.0, 249048.0,2437
4,conventional,10,smoc1,52.086,357662.0983169472, 352349.55174137646, 167370.87018830195, 158837.03182802867, 256451.37143809366,2442
4,conventional,10,smoc2,50.871,351685.4384269288, 346501.934344276, 162405.74170971505, 155005.72171304782, 250300.60323279453,2437
4,conventional,10,smoc3,50.726,-354714.7962006332, 354855.86735544074, 169974.9948341943, 160473.30911514748, 258708.82719546743,2444
4,conventional,10,smoc4,50.923,353338.1609731711, 347743.15014164307, 164635.88535244126, 157529.37443759374, 251696.42926178972,2438
4,conventional,10,smoc5,30.493,2498424.0, 2496254.0, 157218.0, 156142.0, 248250.0,2438
4,distributed,1,smoc1,53.587,-339404.96232650365, -343682.10178453405, 159126.04626569728, 152060.26173165895, 250407.6060806345,2438
4,distributed,1,smoc2,53.839,-429041.60490463214, -433573.8664850136, 159363.51771117168, 151740.66757493187, 248186.5940054496,2436
4,distributed,1,smoc3,53.739,-254227.71044202434, -258867.66944266495, 159116.16143497758, 152041.48878923766, 248518.1140294683,2436
4,distributed,1,smoc4,53.683,-440923.4445964432, -445495.64979480166, 159252.35567715458, 152658.4952120383, 247618.50889192885,2434
4,distributed,1,smoc5,32.748,2501102.0, 2498844.0, 158188.0, 156194.0, 248880.0,2438
4,distributed,2,smoc1,48.324,-468852.3206634416, -473359.2812715964, 158265.10850034555, 151780.26814098135, 250436.34277816172,2438
4,distributed,2,smoc2,49.91,-180114.33312538988, -185127.31378665002, 157283.80286961945, 151576.8758577667, 249654.71740486586,2436
4,distributed,2,smoc3,49.853,-456931.19339298, -462156.45423262217, 157806.72814865794, 150972.90020646938, 248757.20578114246,2435
4,distributed,2,smoc4,50.256,-360971.82411725516, -365924.4210526316, 162541.54030646235, 152855.0726182545, 251093.68421052632,2436
4,distributed,2,smoc5,34.431,2498576.0, 2496166.0, 158368.0, 153392.0, 248004.0,2438
4,distributed,3,smoc1,53.9,-269894.11855670105, -274642.94845360826, 159662.30670103093, 151277.06701030929, 248294.01030927835,2434
4,distributed,3,smoc2,53.173,-473739.4542936288, -479576.21329639887, 159148.87534626038, 150799.9002770083, 250248.94736842104,2436
4,distributed,3,smoc3,53.758,-406527.3067027759, -411418.4671631686, 160735.36086662154, 154256.33039945835, 251707.83209207855,2437
4,distributed,3,smoc4,53.478,-306971.66557805357, -311441.9359895493, 158125.6355323318, 151646.9235793599, 249384.3736120183,2437
4,distributed,3,smoc5,32.287,2498466.0, 2496018.0, 161202.0, 154916.0, 248636.0,2438
4,distributed,4,smoc1,52.574,-481477.3629424011, -486103.1922276197, 159127.15058986814, 150878.93407356003, 249739.03400416378,2437
4,distributed,4,smoc2,52.585,-559573.2896797153, -564322.9665480427, 156840.65195729537, 149669.21850533807, 247859.9259786477,2435
4,distributed,4,smoc3,52.459,-148232.66009852217, -152721.74630541872, 158487.881773399, 151194.4655172414, 247412.5172413793,2435
4,distributed,4,smoc4,52.231,-302700.7666232073, -307738.80312907434, 158565.07170795306, 152402.88657105606, 247977.6140808344,2438
4,distributed,4,smoc5,32.298,2500306.0, 2497750.0, 160356.0, 157166.0, 249262.0,2438
4,distributed,5,smoc1,52.276,-222062.92893401015, -226988.9568527919, 163190.9390862944, 152945.92639593908, 254025.7766497462,2439
4,distributed,5,smoc2,51.438,-239083.4128908743, -244053.3656668794, 161275.89534141673, 150958.8130185067, 252423.85449904276,2438
4,distributed,5,smoc3,51.972,-644342.5124450951, -649012.486090776, 161080.84626647146, 152073.513909224, 250812.7467057101,2438
4,distributed,5,smoc4,52.446,-375965.4127090301, -380495.19197324413, 158979.99197324415, 150151.44080267558, 247981.7872909699,2434
4,distributed,5,smoc5,32.756,2495978.0, 2494130.0, 154554.0, 153340.0, 247012.0,2435
4,distributed,6,smoc1,52.08,-421968.75322909583, -426404.24201223656, 163315.8178110129, 153095.20054384772, 248618.29775662813,2435
4,distributed,6,smoc2,52.901,-477728.51523545705, -482390.18836565095, 158926.98337950138, 150022.61772853186, 247115.81994459833,2435
4,distributed,6,smoc3,52.835,-427543.48501362395, -431960.621253406, 161616.61580381473, 151391.45776566758, 249391.55858310626,2436
4,distributed,6,smoc4,52.871,-153376.00493522518, -157841.3497840839, 158246.42813078346, 151347.18075262185, 247249.949413942,2435
4,distributed,6,smoc5,32.282,2497756.0, 2495916.0, 155792.0, 154592.0, 247820.0,2436
4,distributed,7,smoc1,53.478,-356164.7739361702, -360782.57180851063, 160164.414893617, 151477.18617021278, 250419.18882978722,2438
4,distributed,7,smoc2,52.697,-312638.99214659684, -317142.3010471204, 158255.14136125654, 151900.5, 249382.38481675394,2436
4,distributed,7,smoc3,53.039,-314525.7678688525, -319055.6773770492, 159675.2918032787, 152418.1481967213, 252901.39016393444,2438
4,distributed,7,smoc4,53.062,-467615.31167933653, -471774.27228749136, 158515.8230822391, 152021.82446440912, 252102.51002073256,2437
4,distributed,7,smoc5,34.025,2497992.0, 2495014.0, 156096.0, 155690.0, 246722.0,2434
4,distributed,8,smoc1,51.687,-611382.1781317885, -616650.2592324403, 156412.30702389573, 148860.04634322954, 248542.52570601014,2434
4,distributed,8,smoc2,51.659,-297327.4014313598, -302260.7417046194, 157141.858165257, 148745.79050097594, 247524.03122966818,2435
4,distributed,8,smoc3,51.701,-233026.64208518754, -237492.15003178638, 158254.9853782581, 151823.13286713287, 248615.9186268277,2438
4,distributed,8,smoc4,51.448,-337076.28023793787, -342164.9808327826, 160272.6080634501, 151304.70852610708, 251656.61070720424,2437
4,distributed,8,smoc5,31.920,2501024.0, 2498674.0, 159308.0, 153448.0, 250220.0,2441
4,distributed,9,smoc1,51.551,-214506.17951959546, -219194.14412136536, 158985.45638432365, 150985.34766118837, 251305.41845764854,2438
4,distributed,9,smoc2,51.711,-375778.66756032174, -380632.2895442359, 163119.0857908847, 151479.8766756032, 253830.35388739945,2441
4,distributed,9,smoc3,52.18,-384688.28744123573, -389337.278710544, 160845.86702484888, 150593.14170584283, 250589.14707857624,2438
4,distributed,9,smoc4,52.387,-480655.54198473284, -485280.7356002776, 160504.76058292852, 151721.23802914642, 251246.01249132547,2438
4,distributed,9,smoc5,33.035,2500696.0, 2498434.0, 158856.0, 156404.0, 250434.0,2438
4,distributed,10,smoc1,51.795,-390110.7537012113, -395015.93539703905, 160362.67833109017, 151724.13728129206, 250511.09555854643,2436
4,distributed,10,smoc2,51.481,-423350.4282800816, -428032.1767505099, 159666.38477226376, 150314.50169952415, 247194.64853840924,2435
4,distributed,10,smoc3,51.542,-264339.7659163987, -268775.9356913183, 161353.8006430868, 150142.9144694534, 248672.80257234725,2435
4,distributed,10,smoc4,52.234,-381080.72654155496, -385836.0670241287, 161187.53887399464, 151692.4745308311, 248779.62466487935,2438
4,distributed,10,smoc5,33.679,2501972.0, 2498774.0, 159060.0, 157062.0, 250448.0,2438
4,centralized,1,smoc1,46.045,-258200.82731958764, -265297.90721649484, 169093.46391752578, 154884.19072164947, 257247.2706185567,2443
4,centralized,1,smoc2,45.998,-225286.16751269036, -230562.59390862944, 160315.2461928934, 151101.3426395939, 249429.89847715737,2436
4,centralized,1,smoc3,45.977,-681254.5255366395, -685525.2731310141, 158445.39452257587, 150902.2649888971, 248469.34418948926,2436
4,centralized,1,smoc4,46.047,-308660.0865573771, -316281.6262295082, 165934.05901639344, 154677.61049180327, 255236.34360655738,2441
4,centralized,1,smoc5,21.348,2496054.0, 2494050.0, 153110.0, 149834.0, 245534.0,2437
4,centralized,2,smoc1,44.085,-480431.01457321306, -485533.00208188756, 158000.36363636365, 148542.0291464261, 249557.6849410132,2436
4,centralized,2,smoc2,43.801,-294381.58490566036, -299068.8015614834, 162249.77228366947, 149412.24983734547, 250161.69420949902,2436
4,centralized,2,smoc3,43.831,-473627.1292328956, -475502.74498963373, 149921.84657912923, 147305.0559778853, 247245.92674498964,2434
4,centralized,2,smoc4,44.732,-223675.96200126663, -225841.56048131728, 152625.69727675745, 149456.22799240027, 248956.38505383153,2435
4,centralized,2,smoc5,20.900,2498380.0, 2498208.0, 157438.0, 152622.0, 249688.0,2438
4,centralized,3,smoc1,45.221,-300488.8370273794, -305518.1382007823, 160839.49934810953, 154514.6857887875, 249959.4106910039,2435
4,centralized,3,smoc2,43.079,-503241.4134078212, -506973.8687150838, 157015.5754189944, 150179.7150837989, 247445.1033519553,2434
4,centralized,3,smoc3,44.702,-436542.3857729138, -440872.52804377564, 160019.46922024625, 151217.82763337894, 251994.80164158688,2438
4,centralized,3,smoc4,43.759,-227821.37055837564, -232986.3274111675, 159682.9467005076, 150240.37817258883, 247286.0,2435
4,centralized,3,smoc5,22.037,2496932.0, 2495600.0, 158620.0, 157988.0, 247082.0,2437
