ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
4,conventional,1,smoc1,39.483,5968,4772,19380,21428,11884,2436
4,conventional,1,smoc2,38.96,6360,6200,21276,31064,14256,2437
4,conventional,1,smoc3,39.098,2044,6284,17740,26488,13736,2436
4,conventional,1,smoc4,39.852,5316,4220,13200,21828,11140,2440
4,conventional,1,smoc5,22.497,6048,1028,8952,6128,5156,2437
4,conventional,2,smoc1,40.584,8464,5064,23068,25328,13288,2439
4,conventional,2,smoc2,40.668,1688,5964,13416,21796,13232,2434
4,conventional,2,smoc3,40.48,7052,6860,18172,29244,14000,2436
4,conventional,2,smoc4,40.371,2220,6688,13432,22688,11836,2436
4,conventional,2,smoc5,23.417,2472,3188,8472,4376,1588,2440
4,conventional,3,smoc1,40.069,1260,4588,12776,20084,9304,2437
4,conventional,3,smoc2,40.94,7056,8140,23568,29020,15060,2436
4,conventional,3,smoc3,39.999,2336,4592,14496,22552,11596,2435
4,conventional,3,smoc4,40.15,5304,5020,11904,19556,10384,2436
4,conventional,3,smoc5,23.672,6056,1328,9716,12068,5608,2437
4,conventional,4,smoc1,42.292,10084,9836,26956,27716,17160,2439
4,conventional,4,smoc2,41.855,4892,2576,16552,20484,9744,2436
4,conventional,4,smoc3,41.666,2096,4736,11136,19584,10332,2435
4,conventional,4,smoc4,42.221,2976,5308,13080,20076,10188,2435
4,conventional,4,smoc5,22.874,5720,3884,2580,12288,8832,2437
4,conventional,5,smoc1,39.748,4616,5524,13092,26252,12460,2441
4,conventional,5,smoc2,40.06,7136,4404,10452,20532,10124,2441
4,conventional,5,smoc3,40.348,4616,5264,9596,21152,12392,2438
4,conventional,5,smoc4,39.165,5204,6084,22188,24472,12952,2434
4,conventional,5,smoc5,25.951,12752,6500,14000,15240,10820,2442
4,conventional,6,smoc1,41.918,3460,5660,14772,23116,13504,2439
4,conventional,6,smoc2,40.879,7052,6804,21496,25888,13996,2435
4,conventional,6,smoc3,41.252,3256,4412,9368,19772,11156,2437
4,conventional,6,smoc4,41.488,4352,8724,12468,21216,15464,2435
4,conventional,6,smoc5,23.456,3860,1136,9704,9468,3336,2436
4,conventional,7,smoc1,41.782,4384,4404,21928,26740,12896,2438
4,conventional,7,smoc2,42.716,3744,4972,12644,22656,10088,2439
4,conventional,7,smoc3,41.262,5488,5348,8620,20280,12540,2437
4,conventional,7,smoc4,41.599,2536,5524,10152,18644,12196,2437
4,conventional,7,smoc5,23.936,5696,3316,9664,13532,9716,2436
4,conventional,8,smoc1,42.624,6420,7000,17480,22796,13804,2438
4,conventional,8,smoc2,42.28,1488,3992,9432,16556,9876,2436
