ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
4,distributed,1,smoc1,20.172,11948,10376,90448,94544,83260,4086
4,distributed,1,smoc2,20.212,3848,9712,96292,109048,112620,4082
4,distributed,1,smoc3,20.863,7128,10448,88704,106272,98184,4089
4,distributed,1,smoc4,19.693,11324,11584,120832,133232,133080,4074
4,distributed,1,smoc5,8.900,23196,21728,180136,175704,198396,4079
4,distributed,2,smoc1,10.017,6940,8816,82516,97904,71480,4088
4,distributed,2,smoc2,10.071,6724,8780,100916,114968,82128,4085
4,distributed,2,smoc3,10.354,13900,11688,76404,95776,67556,4089
4,distributed,2,smoc4,9.591,8908,10700,90860,107228,72488,4089
4,distributed,2,smoc5,6.799,12576,4552,97500,91408,73564,4090
4,distributed,3,smoc1,11.034,12496,10000,61944,64516,45640,4076
4,distributed,3,smoc2,9.541,13508,10244,81200,89248,59924,4079
4,distributed,3,smoc3,10.542,5492,9080,92984,110344,75964,4077
4,distributed,3,smoc4,10.437,12372,11296,73148,72080,55704,4072
4,distributed,3,smoc5,8.015,10428,9204,98108,101772,101792,4084
4,distributed,4,smoc1,10.342,7816,7488,40516,46184,35460,4083
4,distributed,4,smoc2,10.45,8604,9612,72056,88596,55624,4084
4,distributed,4,smoc3,10.555,860,10872,64220,86300,73728,4091
4,distributed,4,smoc4,10.32,9388,8520,75876,92768,66924,4088
4,distributed,4,smoc5,6.425,16372,8436,107616,106180,82072,4086
4,distributed,5,smoc1,9.17,7464,9852,65468,89840,62332,4094
4,distributed,5,smoc2,9.199,7124,11276,74664,93976,62764,4079
4,distributed,5,smoc3,9.677,7152,10028,76400,93524,70644,4093
4,distributed,5,smoc4,9.26,4604,10180,88324,102028,74060,4073
4,distributed,5,smoc5,6.796,10408,4112,53684,54304,50460,4082
4,distributed,6,smoc1,9.822,4768,9980,96856,109848,75456,4072
4,distributed,6,smoc2,10.07,8264,12664,72840,94396,67036,4090
4,distributed,6,smoc3,10.238,10900,10344,113864,122428,97788,4075
4,distributed,6,smoc4,10.623,9136,13044,81844,99040,73196,4085
4,distributed,6,smoc5,7.158,22500,17904,112200,108512,90180,4077
