ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
4,conventional,1,smoc1,49.841,2109475916, 2082033912, 984841932, 930034172, 1503206636,2437
4,conventional,1,smoc2,49.998,2136653812, 2098755780, 1006318556, 950789348, 1522574828,2438
4,conventional,1,smoc3,49.969,2137006104, 2104747856, 1012481948, 950071408, 1525575508,2439
4,conventional,1,smoc4,49.656,2121933240, 2085254212, 999934120, 940602532, 1512206404,2438
4,conventional,1,smoc5,25.408,4994612, 4990148, 312320, 311080, 495608,2435
4,conventional,2,smoc1,46.223,2123078044, 2085458584, 993452152, 932658984, 1509319820,2438
4,conventional,2,smoc2,45.817,2126457592, 2095203576, 1000283004, 934113400, 1518831556,2438
4,conventional,2,smoc3,45.9,2119313456, 2088797592, 996127504, 941201892, 1506731504,2438
4,conventional,2,smoc4,45.828,2112314224, 2080928312, 979097740, 931681296, 1505498704,2436
4,conventional,2,smoc5,24.707,4997664, 4992496, 311980, 305396, 492640,2436
4,conventional,3,smoc1,41.752,2141167840, 2110148628, 994046580, 943568560, 1533322112,2442
4,conventional,3,smoc2,40.786,2129907320, 2091255576, 1001899524, 939643032, 1515075596,2439
4,conventional,3,smoc3,40.924,2141403944, 2109876560, 998927700, 939218028, 1534776748,2440
4,conventional,3,smoc4,41.21,2109111672, 2078978524, 977723424, 921804392, 1500113228,2438
4,conventional,3,smoc5,23.150,4999132, 4997696, 313068, 312876, 501540,2436
4,conventional,4,smoc1,46.297,2125573772, 2094873520, 989084900, 944732468, 1520139108,2439
4,conventional,4,smoc2,45.083,2124973016, 2084509716, 999566552, 940876256, 1511482348,2436
4,conventional,4,smoc3,46.045,2125117080, 2085883400, 987724604, 934310492, 1510579740,2436
4,conventional,4,smoc4,45.539,2121024088, 2088747656, 988573340, 941333724, 1512497084,2436
4,conventional,4,smoc5,23.409,4997224, 4991824, 314180, 294088, 495368,2439
4,conventional,5,smoc1,42.781,2118513184, 2086821312, 979846652, 924140012, 1510338436,2438
4,conventional,5,smoc2,42.896,2131473228, 2099450388, 987924116, 940358144, 1523767528,2438
4,conventional,5,smoc3,42.95,2142645012, 2106229204, 997439824, 944286656, 1526925988,2440
4,conventional,5,smoc4,42.973,2139888084, 2106739184, 996755356, 943571740, 1525940532,2440
4,conventional,5,smoc5,25.068,4998996, 4993756, 314300, 310040, 499004,2436
4,conventional,6,smoc1,43.48,2120380612, 2085188532, 987079356, 936317592, 1506724640,2437
4,conventional,6,smoc2,42.862,-2142468060, 2111157808, 999993148, 956440488, 1533545160,2441
4,conventional,6,smoc3,43.503,2121881624, 2085752328, 986910452, 930486044, 1508686424,2438
4,conventional,6,smoc4,42.082,2124838048, 2087650264, 997205020, 949514512, 1513248504,2438
4,conventional,6,smoc5,25.509,4995668, 4991188, 314608, 303796, 494732,2438
4,conventional,7,smoc1,42.321,2123815060, 2091529288, 985231512, 937112368, 1515495804,2438
4,conventional,7,smoc2,42.461,2120486564, 2082507660, 989024744, 926763196, 1505333988,2436
4,conventional,7,smoc3,43.563,2124810156, 2087494712, 993618200, 938124928, 1511293492,2437
4,conventional,7,smoc4,42.069,2118717792, 2080301320, 983172420, 918037148, 1504156656,2437
4,conventional,7,smoc5,24.362,4997744, 4993916, 314928, 300740, 496520,2440
4,conventional,8,smoc1,43.606,2125714200, 2086122008, 987412236, 939355172, 1507105388,2438
4,conventional,8,smoc2,43.892,2115873868, 2082809168, 979253852, 929306540, 1506909308,2435
4,conventional,8,smoc3,44.921,2133334856, 2103256172, 1007941108, 958334908, 1527228776,2440
4,conventional,8,smoc4,43.531,2130995640, 2091979100, 999476888, 942749160, 1517568356,2436
4,conventional,8,smoc5,23.997,4994632, 4990104, 308816, 297908, 493908,2436
4,conventional,9,smoc1,43.629,2109061240, 2077980920, 975904528, 928568576, 1501799064,2436
4,conventional,9,smoc2,43.548,2123037512, 2086191836, 989944128, 932878416, 1510989352,2436
