ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,MaxMemoryUsageInKb,DeltaMemoryUsageInKbFromVmSize,DeltaMemoryUsageInKbFromTop
12,base,1,smoc1,143.356,2499720,2498284,2439
12,base,1,smoc2,143.436,2498712,2497688,2439
12,base,1,smoc3,144.067,2497080,2495656,2437
12,base,1,smoc4,144.052,2494752,2493328,2434
12,base,1,smoc5,143.262,2496080,2494660,2436
12,base,1,smoc6,145.149,2508912,2501852,2443
12,base,1,smoc7,143.99,2498056,2496624,2438
12,base,1,smoc8,143.819,2507700,2500640,2442
12,base,1,smoc9,143.528,2498744,2497312,2438
12,base,1,smoc10,143.492,2507828,2500760,2442
12,base,1,smoc11,143.712,2494760,2493528,2435
12,base,1,smoc12,15.672,2504344,2497020,2438
12,base,2,smoc1,143.531,2500916,2496036,2437
12,base,2,smoc2,144.223,2498000,2496564,2438
12,base,2,smoc3,142.485,2502120,2497888,2439
12,base,2,smoc4,142.751,2499696,2497152,2438
12,base,2,smoc5,143.401,2496008,2494584,2436
12,base,2,smoc6,142.009,2499144,2497660,2439
12,base,2,smoc7,142.652,2508720,2501660,2443
12,base,2,smoc8,142.155,2496992,2495556,2437
12,base,2,smoc9,142.169,2497000,2495576,2437
12,base,2,smoc10,143.234,2496584,2495148,2436
12,base,2,smoc11,142.644,2500092,2495072,2436
12,base,2,smoc12,17.925,2493592,2493592,2435
12,base,3,smoc1,145.677,2502224,2496244,2437
12,base,3,smoc2,142.986,2501792,2494992,2436
12,base,3,smoc3,142.899,2502376,2497248,2438
12,base,3,smoc4,146.124,2498136,2496704,2438
12,base,3,smoc5,143.495,2504924,2499280,2440
12,base,3,smoc6,142.224,2507560,2500500,2441
12,base,3,smoc7,142.69,2508636,2501576,2442
12,base,3,smoc8,140.946,2498308,2496780,2438
12,base,3,smoc9,144.628,2499508,2494500,2436
12,base,3,smoc10,142.017,2497740,2496304,2437
12,base,3,smoc11,143.221,2508564,2501500,2442
12,base,3,smoc12,15.818,2499328,2494300,2435
12,base,4,smoc1,144.943,2498624,2497984,2439
12,base,4,smoc2,144.122,2504432,2499068,2440
12,base,4,smoc3,142.853,2506736,2499676,2441
12,base,4,smoc4,153.178,2508504,2501444,2442
12,base,4,smoc5,143.731,2507232,2500172,2441
12,base,4,smoc6,142.475,2496076,2494644,2436
12,base,4,smoc7,142.933,2508652,2501592,2442
12,base,4,smoc8,145.449,2508316,2501256,2442
12,base,4,smoc9,147.921,2495308,2493884,2435
12,base,4,smoc10,144.152,2502016,2497136,2438
12,base,4,smoc11,142.556,2507468,2500408,2441
12,base,4,smoc12,16.215,2493316,2492932,2434
12,base,5,smoc1,143.222,2509580,2502512,2443
12,base,5,smoc2,148.076,2495892,2494428,2435
12,base,5,smoc3,141.874,2507808,2500748,2442
12,base,5,smoc4,147.546,2508732,2501408,2442
12,base,5,smoc5,141.952,2509348,2502288,2443
12,base,5,smoc6,147.665,2509104,2502048,2443
12,base,5,smoc7,146.142,2497772,2497448,2438
12,base,5,smoc8,142.919,2507072,2500012,2441
12,base,5,smoc9,145.086,2498580,2497508,2438
12,base,5,smoc10,147.323,2497356,2495932,2437
12,base,5,smoc11,141.361,2501780,2496888,2438
12,base,5,smoc12,14.117,2504860,2497204,2438
12,base,6,smoc1,148.335,2509460,2502356,2443
12,base,6,smoc2,148.245,2503968,2499436,2440
12,base,6,smoc3,145.726,2502168,2497136,2438
12,base,6,smoc4,147.45,2502948,2498104,2439
12,base,6,smoc5,147.382,2495176,2490604,2432
12,base,6,smoc6,148.308,2499576,2497040,2438
12,base,6,smoc7,145.155,2499376,2497940,2439
12,base,6,smoc8,145.239,2499968,2494968,2436
12,base,6,smoc9,146.649,2496624,2494088,2435
12,base,6,smoc10,145.876,2502328,2497340,2438
12,base,6,smoc11,147.875,2495068,2493636,2435
12,base,6,smoc12,13.657,2504732,2497076,2438
12,base,7,smoc1,143.187,2497352,2497028,2438
12,base,7,smoc2,142.976,2509496,2502436,2443
12,base,7,smoc3,143.047,2494060,2493804,2435
12,base,7,smoc4,143.955,2495164,2494912,2436
12,base,7,smoc5,143.325,2496224,2495840,2437
12,base,7,smoc6,142.227,2507912,2500852,2442
12,base,7,smoc7,141.609,2498920,2498920,2440
12,base,7,smoc8,143.588,2493960,2493704,2435
12,base,7,smoc9,141.723,2501920,2496712,2438
12,base,7,smoc10,143.137,2508280,2501220,2442
12,base,7,smoc11,141.725,2495452,2495452,2436
12,base,7,smoc12,13.657,2504732,2497076,2438
12,base,8,smoc1,145.87,2497936,2496508,2437
12,base,8,smoc2,147.824,2506308,2499248,2440
12,base,8,smoc3,146.353,2497636,2496208,2437
12,base,8,smoc4,147.524,2506900,2499836,2441
12,base,8,smoc5,147.661,2497644,2496000,2437
12,base,8,smoc6,148.228,2498732,2497308,2438
