ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,MaxMemoryUsageInKb,DeltaMemoryUsageInKbFromVmSize,DeltaMemoryUsageInKbFromTop
4,distributed,1,smoc1,34.164,2496224,2491696,2433
4,distributed,1,smoc2,34.404,2496664,2491996,2433
4,distributed,1,smoc3,34.301,2499168,2494768,2436
4,distributed,1,smoc4,19.237,2500116,2494792,2436
4,distributed,2,smoc1,34.125,2498332,2493664,2435
4,distributed,2,smoc2,34.185,2498356,2493832,2435
4,distributed,2,smoc3,34.201,2496692,2492224,2433
4,distributed,2,smoc4,19.906,2500636,2495756,2437
4,distributed,3,smoc1,31.134,2503596,2499004,2440
4,distributed,3,smoc2,31.393,2499288,2494548,2436
4,distributed,3,smoc3,31.433,2497088,2493004,2434
4,distributed,3,smoc4,18.410,2500240,2495724,2437
4,distributed,4,smoc1,31.968,2498864,2494296,2435
4,distributed,4,smoc2,31.816,2496256,2492724,2434
4,distributed,4,smoc3,31.698,2497428,2492592,2434
4,distributed,4,smoc4,18.510,2499616,2494572,2436
4,distributed,5,smoc1,29.213,2498248,2493776,2435
4,distributed,5,smoc2,29.218,2499748,2494856,2436
4,distributed,5,smoc3,29.284,2500760,2496240,2437
4,distributed,5,smoc4,18.813,2501380,2496956,2438
4,distributed,6,smoc1,30.274,2497364,2492844,2434
4,distributed,6,smoc2,30.265,2505088,2499020,2440
4,distributed,6,smoc3,30.661,2500768,2496248,2437
4,distributed,6,smoc4,16.542,2499232,2494756,2436
4,distributed,7,smoc1,29.63,2501640,2496736,2438
4,distributed,7,smoc2,29.912,2498048,2493528,2435
4,distributed,7,smoc3,30.08,2497420,2492732,2434
4,distributed,7,smoc4,16.962,2503704,2499188,2440
4,distributed,8,smoc1,30.029,2500688,2496120,2437
4,distributed,8,smoc2,29.887,2497908,2493016,2434
4,distributed,8,smoc3,29.707,2497840,2492888,2434
4,distributed,8,smoc4,17.776,2500748,2495844,2437
4,distributed,9,smoc1,30.821,2497768,2493152,2434
4,distributed,9,smoc2,29.821,2499756,2495184,2436
4,distributed,9,smoc3,30.231,2496132,2492100,2433
4,distributed,9,smoc4,18.091,2503240,2498768,2440
4,distributed,10,smoc1,29.523,2499372,2494840,2436
4,distributed,10,smoc2,29.707,2500868,2495972,2437
4,distributed,10,smoc3,29.436,2499892,2495064,2436
4,distributed,10,smoc4,18.860,2501396,2496344,2437
4,centralized,1,smoc1,35.172,2498976,2494308,2435
4,centralized,1,smoc2,35.107,2499980,2494944,2436
4,centralized,1,smoc3,35.448,2497036,2492368,2433
4,centralized,1,smoc4,15.920,2497804,2493280,2434
4,centralized,2,smoc1,33.196,2494832,2493060,2434
4,centralized,2,smoc2,33.207,2501084,2496568,2438
4,centralized,2,smoc3,33.32,2499120,2494452,2435
4,centralized,2,smoc4,17.282,2505184,2500656,2442
4,centralized,3,smoc1,30.118,2500012,2495344,2436
4,centralized,3,smoc2,30.376,2497296,2492820,2434
4,centralized,3,smoc3,29.883,2500884,2496364,2437
4,centralized,3,smoc4,15.198,2500672,2496100,2437
4,centralized,4,smoc1,30.243,2500140,2495472,2436
4,centralized,4,smoc2,29.797,2499544,2494868,2436
4,centralized,4,smoc3,30.0,2496992,2492432,2434
4,centralized,4,smoc4,15.696,2499640,2495064,2436
4,centralized,5,smoc1,28.894,2497544,2492864,2434
4,centralized,5,smoc2,29.397,2496744,2491700,2433
4,centralized,5,smoc3,29.802,2496900,2492232,2433
4,centralized,5,smoc4,15.079,2499968,2495396,2436
4,centralized,6,smoc1,29.435,2496900,2492432,2434
4,centralized,6,smoc2,29.008,2497108,2492080,2433
4,centralized,6,smoc3,29.829,2501508,2496840,2438
4,centralized,6,smoc4,16.440,2497316,2492800,2434
4,centralized,7,smoc1,31.091,2506324,2499264,2440
4,centralized,7,smoc2,30.244,2496744,2492276,2433
4,centralized,7,smoc3,30.394,2496856,2492856,2434
4,centralized,7,smoc4,15.385,2499204,2494636,2436
4,centralized,8,smoc1,29.134,2496760,2492240,2433
4,centralized,8,smoc2,29.015,2496104,2491532,2433
4,centralized,8,smoc3,29.199,2496180,2491484,2433
4,centralized,8,smoc4,16.579,2498632,2494064,2435
4,centralized,9,smoc1,29.656,2500400,2495732,2437
4,centralized,9,smoc2,29.719,2497628,2493112,2434
4,centralized,9,smoc3,29.584,2499232,2494652,2436
4,centralized,9,smoc4,14.921,2500452,2495200,2436
4,centralized,10,smoc1,29.68,2497572,2493052,2434
4,centralized,10,smoc2,30.797,2497480,2492496,2434
4,centralized,10,smoc3,29.984,2496992,2493300,2434
4,centralized,10,smoc4,14.700,2499556,2495088,2436
8,centralized,1,smoc1,91.59,2500652,2495860,2437
8,centralized,1,smoc2,91.624,2498436,2493748,2435
8,centralized,1,smoc3,91.581,2496912,2492396,2433
8,centralized,1,smoc4,91.522,2496672,2492156,2433
8,centralized,1,smoc5,91.299,2500084,2495416,2436
