Deney,Restore_Duration_in_sec,Max_Memory_Usage_in_KB,Delta_Memory_Usage_in_KB_from_VmSize,Delta_Memory_Usage_in_KB_from_top
1,15.955,2479292,2476168,2418
2,13.239,2479752,2477984,2419
3,14.999,2480492,2477368,2419
4,13.194,2478820,2477068,2419
5,12.492,2479224,2477452,2419
6,12.703,2480316,2477204,2419
7,12.616,2479388,2477640,2419
8,12.447,2478876,2477124,2419
9,12.477,2480824,2477504,2419
10,13.557,2480768,2477644,2419
11,12.307,2479388,2477620,2419
12,14.338,2478976,2477212,2419
13,15.877,2478992,2477240,2419
14,13.414,2480836,2477520,2419
15,12.641,2479348,2477508,2419
16,12.585,2480224,2477616,2419
17,12.925,2480028,2476904,2418
18,12.138,2479316,2477476,2419
19,12.018,2479028,2477188,2419
20,11.846,2480848,2477736,2419
